id,title,description,size,brand,price,imageURL,galleryImages
1,básico soltinho,"vestido preto de viscose daqueles que toda mulher precisa ter!
lavado, porém nunca usado.. novinho!

51cm busto
58cm cintura
63cm quadril
83cm comprimento",G,RTOP,30,https://photos.enjoei.com.br/basico-soltinho-119121360/1200xN/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy84NzExMTMvMmE0OWQ1YjdhNzZlMmYyMzhhYzZmM2Q2YTRmZTkxY2QuanBn,"https://photos.enjoei.com.br/basico-soltinho-119121360/1200xN/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy84NzExMTMvMmE0OWQ1YjdhNzZlMmYyMzhhYzZmM2Q2YTRmZTkxY2QuanBn,https://photos.enjoei.com.br/basico-soltinho-119121360/1200xN/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy84NzExMTMvOGVlNmI3ZmUxNzA0OWJmNWU3MzIzMzM2MWRkZTNlN2UuanBn,https://photos.enjoei.com.br/basico-soltinho-119121360/1200xN/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy84NzExMTMvZjU3OTEyZjE3MDhiNjk2OWM5MzUzZmVmMjZlZjliM2YuanBn"
2,vestido de corações fresquinho,"vestido estampado super fofo, com corações por toda parte! tamanho g na etiqueta, mas veste como um m do brasil. saia forrada, bolsos laterais e um caimento incrível.

84cm comprimento
59cm quadril
49cm cintura
54cm busto",M,Shein,30,https://photos.enjoei.com.br/vestido-de-coracoes-fresquinho-114180364/1200xN/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy84NzExMTMvNDEyYjE1MDQwMmJiMTViY2U2NTRlYTA5NTRmZWI4M2EuanBn,"https://photos.enjoei.com.br/vestido-de-coracoes-fresquinho-114180364/1200xN/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy84NzExMTMvNDEyYjE1MDQwMmJiMTViY2U2NTRlYTA5NTRmZWI4M2EuanBn,https://photos.enjoei.com.br/vestido-de-coracoes-fresquinho-114180364/1200xN/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy84NzExMTMvMWIwYmZmN2UxNGE2YjM2NDRhNDk4NGE0ZDQyMDhkYmEuanBn,https://photos.enjoei.com.br/vestido-de-coracoes-fresquinho-114180364/1200xN/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy84NzExMTMvZWQ2NTMzOGFmZDJmMjdhOWIyMTgwMjc4MDBmZGQzYTYuanBn,https://photos.enjoei.com.br/vestido-de-coracoes-fresquinho-114180364/1200xN/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy84NzExMTMvZjU0N2JlNmRkZmU1YWRmOWI0OGIwMDI1MGEyYmI0OTguanBn,https://photos.enjoei.com.br/vestido-de-coracoes-fresquinho-114180364/1200xN/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy84NzExMTMvOTg1MzUzNjkxZjhlNDc1MWFjODQ1ZDFhOTNjMzY0ZDguanBn"
